,dt,users_count_without_revenue,users_count_with_revenue,revenue,arpu
0,2020-01-17,0,1,143.94575476646423,143.94575476646423
1,2020-01-20,0,2,10.81056809425354,5.40528404712677
2,2020-01-21,0,1,6.488145351409912,6.488145351409912
3,2020-01-22,0,1,6.675666332244873,6.675666332244873
4,2020-01-23,0,13,996.6972177028656,76.66901674637428
5,2020-01-24,0,34,801.4097270965576,23.570874326369342
6,2020-01-25,0,27,292.45071244239807,10.831507868236965
7,2020-01-26,0,32,1409.4286003112793,44.04464375972748
8,2020-01-27,0,50,7103.790668964386,142.07581337928772
9,2020-01-28,0,59,7813.744248390198,132.4363431930542
10,2020-01-29,0,70,3537.0085229873657,50.5286931855338
11,2020-01-30,0,48,442.82701206207275,9.225562751293182
12,2020-01-31,0,44,369.49079036712646,8.397517962889237
13,2020-02-01,0,60,567.2549006938934,9.454248344898224
14,2020-02-02,0,143,1610.8267817497253,11.264522949298778
15,2020-02-03,0,126,1105.31889295578,8.772372166315714
16,2020-02-04,0,104,914.7013731002808,8.795205510579622
17,2020-02-05,0,135,1330.0001211166382,9.851852749012135
18,2020-02-06,0,131,1332.306893825531,10.170281632255962
19,2020-02-07,0,158,1464.0222523212433,9.26596362228635
20,2020-02-08,0,151,1571.5359163284302,10.407522624691591
21,2020-02-09,0,157,1435.1317266225815,9.1409664116088
22,2020-02-10,0,138,1259.6818474531174,9.128129329370415
23,2020-02-11,0,157,1336.5867869853973,8.513291636849665
24,2020-02-12,0,172,1404.502590894699,8.165712737759879
25,2020-02-13,0,187,1786.6900088787079,9.554492026089347
26,2020-02-14,0,193,1904.6598582267761,9.868703928636146
27,2020-02-15,0,210,1906.0149173736572,9.07626151130313
28,2020-02-16,0,246,2568.134792804718,10.439572328474464
29,2020-02-17,0,232,2365.1202249526978,10.194483728244387
30,2020-02-18,0,264,2864.7482540607452,10.851319144169489
31,2020-02-19,0,292,3438.0609862804413,11.774181459864526
32,2020-02-20,0,377,3518.1874080896378,9.332062090423442
33,2020-02-21,0,316,2772.139658689499,8.772593856612339
34,2020-02-22,0,370,3316.750433087349,8.964190359695538
35,2020-02-23,0,355,3294.8586086034775,9.281291855221063
36,2020-02-24,0,289,2845.2180676460266,9.845045216768257
37,2020-02-25,0,257,2500.5052906274796,9.72959257053494
38,2020-02-26,0,254,2387.9388188123703,9.401333932332166
39,2020-02-27,0,323,2745.853614807129,8.501094782684609
40,2020-02-28,0,337,3569.327929496765,10.59147753559871
41,2020-02-29,0,434,4636.540825247765,10.683273790893466
42,2020-03-01,0,464,4694.357609510422,10.117150020496599
43,2020-03-02,0,485,4546.5755380392075,9.37438255265816
44,2020-03-03,0,491,4668.781830072403,9.508720631512022
45,2020-03-04,0,504,4211.694092392921,8.356535897605003
46,2020-03-05,0,539,4213.101519227028,7.816514877972223
47,2020-03-06,0,619,5961.177183508873,9.630334706799472
48,2020-03-07,0,786,7044.773907542229,8.962816676262378
49,2020-03-08,0,764,7248.206764578819,9.487181629029868
50,2020-03-09,0,645,5622.500510692596,8.717055055337358
51,2020-03-10,0,587,5210.849753379822,8.877086462316562
52,2020-03-11,0,547,6295.356502175331,11.508878431764774
53,2020-03-12,0,628,5937.125296592712,9.454021172918331
54,2020-03-13,0,662,7444.807536840439,11.245932835106403
55,2020-03-14,0,728,6293.536522746086,8.644967751024843
56,2020-03-15,0,1024,8726.81147646904,8.522276832489297
57,2020-03-16,0,748,6303.9871925115585,8.427790364320266
58,2020-03-17,0,710,6911.367641687393,9.73432062209492
59,2020-03-18,0,645,5996.155035734177,9.296364396487096
60,2020-03-19,0,612,5663.526274442673,9.254127899416131
61,2020-03-20,0,639,5763.484011292458,9.01953679388491
62,2020-03-21,0,755,6519.664244413376,8.635316880017717
63,2020-03-22,0,715,6618.0653557777405,9.25603546262621
64,2020-03-23,0,577,4875.597551703453,8.449909101739086
65,2020-03-24,0,614,6393.877606272697,10.413481443440876
66,2020-03-25,0,505,4757.070691943169,9.419941964243899
67,2020-03-26,9938,369,3256.8655536174774,0.31598579156083023
68,2020-03-27,25964,390,3495.3976759910583,0.13263252925518168
69,2020-03-28,36545,442,4154.302997589111,0.11231792244813343
70,2020-03-29,49453,518,4743.736399292946,0.09492978726247114
71,2020-03-30,56200,409,3600.621609687805,0.06360510889942951
72,2020-03-31,62019,427,3976.8015534877777,0.06368384770021743
73,2020-04-01,64519,373,3779.7163627147675,0.058246260906040306
74,2020-04-02,66812,298,3136.461294531822,0.04673612419209987
75,2020-04-03,66137,272,2851.319049358368,0.042935732345892395
76,2020-04-04,65205,268,3044.5483416318893,0.04650082234863057
77,2020-04-05,66265,252,2586.7482669353485,0.038888528751076394
78,2020-04-06,66430,208,2081.27743434906,0.031232591529593626
79,2020-04-07,68872,210,2378.1007553339005,0.03442431827876872
80,2020-04-08,70722,227,2356.5993798971176,0.03321539951087567
