,dt,new_users_count,day_after_install,retained_users_count,retention
0,2019-12-16,2,32.0,1.0,0.5
1,2019-12-16,2,43.0,1.0,0.5
2,2019-12-16,2,59.0,1.0,0.5
3,2019-12-16,2,60.0,1.0,0.5
4,2019-12-16,2,62.0,1.0,0.5
5,2019-12-16,2,64.0,1.0,0.5
6,2019-12-16,2,66.0,1.0,0.5
7,2019-12-16,2,77.0,1.0,0.5
8,2019-12-16,2,78.0,1.0,0.5
9,2019-12-16,2,79.0,2.0,1.0
10,2019-12-16,2,80.0,2.0,1.0
11,2019-12-16,2,81.0,2.0,1.0
12,2019-12-16,2,82.0,1.0,0.5
13,2019-12-16,2,83.0,1.0,0.5
14,2019-12-16,2,84.0,1.0,0.5
15,2019-12-16,2,86.0,1.0,0.5
16,2019-12-16,2,88.0,1.0,0.5
17,2019-12-16,2,91.0,1.0,0.5
18,2019-12-16,2,92.0,1.0,0.5
19,2019-12-16,2,93.0,1.0,0.5
20,2019-12-16,2,101.0,1.0,0.5
21,2019-12-16,2,102.0,1.0,0.5
22,2019-12-16,2,104.0,1.0,0.5
23,2019-12-16,2,108.0,1.0,0.5
24,2019-12-16,2,113.0,1.0,0.5
25,2019-12-16,2,114.0,1.0,0.5
26,2019-12-16,2,115.0,1.0,0.5
27,2019-12-16,2,119.0,1.0,0.5
28,2019-12-16,2,123.0,1.0,0.5
29,2019-12-16,2,132.0,1.0,0.5
30,2019-12-16,2,156.0,1.0,0.5
31,2019-12-16,2,169.0,1.0,0.5
32,2019-12-16,2,185.0,1.0,0.5
33,2019-12-16,2,186.0,1.0,0.5
34,2019-12-16,2,188.0,1.0,0.5
35,2019-12-16,2,189.0,1.0,0.5
36,2019-12-18,4,32.0,1.0,0.25
37,2019-12-18,4,35.0,1.0,0.25
38,2019-12-18,4,37.0,1.0,0.25
39,2019-12-18,4,41.0,1.0,0.25
40,2019-12-18,4,43.0,1.0,0.25
41,2019-12-18,4,46.0,1.0,0.25
42,2019-12-18,4,49.0,1.0,0.25
43,2019-12-18,4,50.0,1.0,0.25
44,2019-12-18,4,54.0,1.0,0.25
45,2019-12-18,4,55.0,1.0,0.25
46,2019-12-18,4,58.0,2.0,0.5
47,2019-12-18,4,60.0,2.0,0.5
48,2019-12-18,4,61.0,2.0,0.5
49,2019-12-18,4,62.0,2.0,0.5
50,2019-12-18,4,63.0,2.0,0.5
51,2019-12-18,4,64.0,1.0,0.25
52,2019-12-18,4,65.0,1.0,0.25
53,2019-12-18,4,71.0,1.0,0.25
54,2019-12-18,4,74.0,1.0,0.25
55,2019-12-18,4,75.0,2.0,0.5
56,2019-12-18,4,84.0,1.0,0.25
57,2019-12-18,4,85.0,1.0,0.25
58,2019-12-18,4,86.0,1.0,0.25
59,2019-12-18,4,102.0,1.0,0.25
60,2019-12-18,4,113.0,1.0,0.25
61,2019-12-18,4,131.0,1.0,0.25
62,2019-12-18,4,152.0,1.0,0.25
63,2019-12-18,4,159.0,1.0,0.25
64,2019-12-20,1,61.0,1.0,1.0
65,2019-12-20,1,113.0,1.0,1.0
66,2019-12-20,1,115.0,1.0,1.0
67,2019-12-20,1,126.0,1.0,1.0
68,2019-12-20,1,128.0,1.0,1.0
69,2019-12-20,1,129.0,1.0,1.0
70,2019-12-20,1,161.0,1.0,1.0
71,2019-12-20,1,171.0,1.0,1.0
72,2019-12-21,2,47.0,1.0,0.5
73,2019-12-21,2,89.0,1.0,0.5
74,2019-12-21,2,120.0,1.0,0.5
75,2019-12-23,1,56.0,1.0,1.0
76,2019-12-25,11,54.0,1.0,0.09090909090909091
77,2019-12-25,11,78.0,1.0,0.09090909090909091
78,2019-12-25,11,90.0,2.0,0.18181818181818182
79,2019-12-25,11,96.0,1.0,0.09090909090909091
80,2019-12-25,11,114.0,1.0,0.09090909090909091
81,2019-12-25,11,130.0,1.0,0.09090909090909091
82,2019-12-25,11,139.0,1.0,0.09090909090909091
83,2019-12-25,11,148.0,1.0,0.09090909090909091
84,2019-12-25,11,152.0,1.0,0.09090909090909091
85,2019-12-25,11,157.0,1.0,0.09090909090909091
86,2019-12-25,11,158.0,1.0,0.09090909090909091
87,2019-12-25,11,164.0,1.0,0.09090909090909091
88,2019-12-25,11,169.0,1.0,0.09090909090909091
89,2019-12-25,11,171.0,1.0,0.09090909090909091
90,2019-12-25,11,184.0,1.0,0.09090909090909091
91,2019-12-25,11,185.0,1.0,0.09090909090909091
